"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"155",153648,2014-06-29,"Missouri","Saint Louis","2800 block of Dayton",0,4,"2800 block of Dayton, Saint Louis, Missouri",-90.216016,38.641863
"156",152693,2014-06-29,"California","Los Angeles","1100 block of North Vermont Avenue",1,5,"1100 block of North Vermont Avenue, Los Angeles, California",-118.2913512,34.0912202
"157",152960,2014-06-28,"California","Antioch","5500 Cedar Point Way",0,7,"5500 Cedar Point Way, Antioch, California",-121.7575243,37.9570006
"158",153578,2014-06-28,"New York","Manhattan","Fifth Avenue and West 139th Street",0,4,"Fifth Avenue and West 139th Street, Manhattan, New York",-73.935758,40.8153398
"159",152722,2014-06-27,"California","San Diego","1600 block of Cathy Street",1,3,"1600 block of Cathy Street, San Diego, California",-117.0946296,32.5872545
"160",151659,2014-06-26,"Wisconsin","Milwaukee","24th and Locust",0,5,"24th and Locust, Milwaukee, Wisconsin",-87.9423911,43.0714945
"161",157018,2014-06-26,"Michigan","Detroit","Grand St",2,2,"Grand St, Detroit, Michigan",-83.1258155,42.3936105
"162",151475,2014-06-25,"Massachusetts","Lowell","Midland Street",0,5,"Midland Street, Lowell, Massachusetts",-71.3269283,42.6235027
"163",150299,2014-06-24,"Florida","Miami","Northwest 12th Avenue and 65th Street",2,7,"Northwest 12th Avenue and 65th Street, Miami, Florida",-80.2169445,25.8343478
"164",154136,2014-06-22,"California","Windsor","Windsor Avenue",1,3,"Windsor Avenue, Windsor, California",-122.8189032,38.5478719
"165",150344,2014-06-21,"Tennessee","Memphis","2119 East Alcy Road",0,5,"2119 East Alcy Road, Memphis, Tennessee",-89.992028,35.0779338
"166",149954,2014-06-21,"District of Columbia","Washington","Florida Ave NW and U St NW",0,4,"Florida Ave NW and U St NW, Washington, District of Columbia",-77.0411951,38.9170225
"167",157013,2014-06-20,"Maryland","Seat Pleasant","6600 block of Greig Street",0,4,"6600 block of Greig Street, Seat Pleasant, Maryland",-76.9058949,38.900128
"168",146565,2014-06-15,"Indiana","Kokomo","5100 Clinton Drive",0,4,"5100 Clinton Drive, Kokomo, Indiana",-86.1250676,40.4376716
"169",146586,2014-06-15,"Illinois","Park Forest","200 Berry Street",0,4,"200 Berry Street, Park Forest, Illinois",-87.6787429,41.5015427
"170",149706,2014-06-13,"California","Los Angeles","8600 block of South Figueroa Street",3,1,"8600 block of South Figueroa Street, Los Angeles, California",-118.282285,33.9596113
"171",156245,2014-06-09,"New Jersey","Paterson","Rosa Parks Boulevard and Godwin Avenue",0,6,"Rosa Parks Boulevard and Godwin Avenue, Paterson, New Jersey",-74.1590819,40.9206769
"172",144524,2014-06-08,"Florida","Fort Myers","17372 Phlox Drive",5,0,"17372 Phlox Drive, Fort Myers, Florida",-81.8215182,26.484684
"173",144565,2014-06-08,"Alabama","Opp","611 Hardin Street",1,4,"611 Hardin Street, Opp, Alabama",-86.253191,31.2725189
